"Time","value"
2025-07-30 11:21:45,300.3 K
2025-07-30 11:22:00,300.5 K
2025-07-30 11:22:15,300.6 K
2025-07-30 11:22:30,300.7 K
2025-07-30 11:22:45,300.8 K
2025-07-30 11:23:00,300.8 K
2025-07-30 11:23:15,300.8 K
2025-07-30 11:23:30,300.8 K
2025-07-30 11:24:00,300.9 K
2025-07-30 11:24:15,300.9 K
2025-07-30 11:24:30,300.9 K
2025-07-30 11:24:45,300.8 K
2025-07-30 11:25:00,300.8 K
2025-07-30 11:25:15,300.8 K
2025-07-30 11:25:30,300.8 K
2025-07-30 11:25:45,300.7 K
2025-07-30 11:26:00,300.7 K
2025-07-30 11:26:15,300.6 K
2025-07-30 11:26:30,300.6 K
2025-07-30 11:26:45,300.6 K
2025-07-30 11:27:00,300.5 K
2025-07-30 11:27:15,300.5 K
2025-07-30 11:27:30,300.5 K
2025-07-30 11:28:00,300.5 K
2025-07-30 11:28:15,300.5 K
2025-07-30 11:28:30,300.4 K
2025-07-30 11:28:45,299.6 K
2025-07-30 11:29:00,299.4 K
2025-07-30 11:29:15,299.3 K
2025-07-30 11:29:30,299.3 K
2025-07-30 11:29:45,299.0 K
2025-07-30 11:30:00,298.8 K
2025-07-30 11:30:15,298.4 K
2025-07-30 11:30:30,297.7 K
2025-07-30 11:30:45,297.3 K
2025-07-30 11:31:00,296.5 K
2025-07-30 11:31:15,295.5 K
2025-07-30 11:31:30,293.8 K
2025-07-30 11:31:45,291.8 K
2025-07-30 11:32:00,290.3 K
2025-07-30 11:32:30,284.7 K
2025-07-30 11:32:45,281.7 K
2025-07-30 11:33:00,280.2 K
2025-07-30 11:33:15,277.1 K
2025-07-30 11:33:30,274.8 K
2025-07-30 11:33:45,271.7 K
2025-07-30 11:34:00,268.9 K
2025-07-30 11:34:15,266.2 K
2025-07-30 11:34:30,263.8 K
2025-07-30 11:34:45,261.1 K
2025-07-30 11:35:00,258.3 K
2025-07-30 11:35:15,255.2 K
2025-07-30 11:35:30,252.7 K
2025-07-30 11:35:45,250.1 K
2025-07-30 11:36:00,247.3 K
2025-07-30 11:36:15,245.3 K
2025-07-30 11:36:30,242.5 K
2025-07-30 11:36:45,240.5 K
2025-07-30 11:37:00,238.0 K
2025-07-30 11:37:15,234.8 K
2025-07-30 11:37:30,231.5 K
2025-07-30 11:37:45,229.1 K
2025-07-30 11:38:00,226.4 K
2025-07-30 11:38:15,223.3 K
2025-07-30 11:38:30,220.5 K
2025-07-30 11:38:45,218.0 K
2025-07-30 11:39:00,216.0 K
2025-07-30 11:39:15,212.9 K
2025-07-30 11:39:30,210.5 K
2025-07-30 11:39:45,207.6 K
2025-07-30 11:40:00,205.5 K
2025-07-30 11:40:15,202.7 K
2025-07-30 11:40:30,201.2 K
2025-07-30 11:40:45,198.6 K
2025-07-30 11:41:00,196.3 K
2025-07-30 11:41:15,194.2 K
2025-07-30 11:41:30,191.9 K
2025-07-30 11:41:45,189.9 K
2025-07-30 11:42:00,187.4 K
2025-07-30 11:42:15,185.0 K
2025-07-30 11:42:30,183.3 K
2025-07-30 11:42:45,180.9 K
2025-07-30 11:43:00,177.9 K
2025-07-30 11:43:15,176.5 K
2025-07-30 11:43:30,174.3 K
2025-07-30 11:43:45,172.3 K
2025-07-30 11:44:00,171.3 K
2025-07-30 11:44:15,168.8 K
2025-07-30 11:44:30,166.2 K
2025-07-30 11:44:45,165.0 K
2025-07-30 11:45:00,163.8 K
2025-07-30 11:45:15,161.7 K
2025-07-30 11:45:30,160.6 K
2025-07-30 11:45:45,159.1 K
2025-07-30 11:46:00,159.3 K
2025-07-30 11:46:15,158.5 K
2025-07-30 11:46:30,157.5 K
2025-07-30 11:46:45,153.5 K
2025-07-30 11:47:00,150.9 K
2025-07-30 11:47:15,148.6 K
2025-07-30 11:47:30,145.4 K
2025-07-30 11:47:45,143.2 K
2025-07-30 11:48:00,141.1 K
2025-07-30 11:48:15,138.6 K
2025-07-30 11:48:30,135.6 K
2025-07-30 11:48:45,133.5 K
2025-07-30 11:49:00,131.7 K
2025-07-30 11:49:15,129.5 K
2025-07-30 11:49:30,125.9 K
2025-07-30 11:49:45,124.0 K
